provider,cidr,region
aws,51.164.0.0/14,eusc-de-east-1
aws,51.168.0.0/15,me-west-1
aws,51.200.0.0/13,
aws,51.224.0.0/15,eusc-de-east-1
aws,52.0.0.0/11,
aws,52.32.0.0/13,us-west-2
aws,52.40.0.0/14,us-west-2
aws,52.44.0.0/15,us-east-1
aws,52.46.0.0/17,
aws,52.46.128.0/19,us-east-1
aws,52.46.164.0/22,
aws,52.46.168.0/21,
aws,52.46.176.0/22,us-gov-west-1
aws,52.46.192.0/19,
aws,52.46.224.0/20,us-gov-west-1
aws,52.46.240.0/22,eu-west-1
aws,52.46.249.0/24,us-west-2
aws,52.46.250.0/23,us-east-1
aws,52.46.252.0/22,us-east-1
aws,52.47.0.0/16,eu-west-3
aws,52.48.0.0/12,
aws,52.64.0.0/12,
aws,52.80.0.0/15,cn-north-1
aws,52.82.0.0/17,cn-northwest-1
aws,52.82.128.0/19,GLOBAL
aws,52.82.160.0/21,cn-northwest-1
aws,52.82.168.0/24,cn-northwest-1
aws,52.82.169.0/27,cn-northwest-1
aws,52.82.170.0/23,cn-northwest-1
aws,52.82.184.0/23,cn-northwest-1
aws,52.82.187.0/24,cn-northwest-1
aws,52.82.188.0/22,cn-northwest-1
aws,52.82.192.0/18,cn-northwest-1
aws,52.83.0.0/16,cn-northwest-1
aws,52.84.0.0/14,
aws,52.88.0.0/14,
aws,52.92.0.0/16,
aws,52.93.0.0/21,
aws,52.93.8.0/22,ap-southeast-1
aws,52.93.12.0/24,us-west-2
aws,52.93.14.0/24,us-west-2
aws,52.93.16.0/22,
aws,52.93.20.0/23,
aws,52.93.22.48/28,us-west-1
